origin,year,month,day,hour,temp,dewp,humid,wind_dir,wind_speed,wind_gust,precip,pressure,visib,time_hour
SNA,2020,1,1,0,NA,NA,NA,290,2.30156,2.6485892167999996,NA,NA,10,2020-01-01T08:00:00Z
SNA,2020,1,1,1,NA,NA,NA,220,5.7539,6.621473041999999,NA,NA,10,2020-01-01T09:00:00Z
SNA,2020,1,1,2,NA,NA,NA,200,5.7539,6.621473041999999,NA,NA,10,2020-01-01T10:00:00Z
SNA,2020,1,1,3,NA,NA,NA,200,2.30156,2.6485892167999996,NA,NA,10,2020-01-01T11:00:00Z
SNA,2020,1,1,4,NA,NA,NA,0,0,0,NA,NA,10,2020-01-01T12:00:00Z
SNA,2020,1,1,5,NA,NA,NA,0,0,0,NA,NA,10,2020-01-01T13:00:00Z
SNA,2020,1,1,6,NA,NA,NA,10,2.30156,2.6485892167999996,NA,NA,10,2020-01-01T14:00:00Z
SNA,2020,1,1,7,NA,NA,NA,320,2.30156,2.6485892167999996,NA,NA,10,2020-01-01T15:00:00Z
SNA,2020,1,1,8,NA,NA,NA,0,0,0,NA,NA,10,2020-01-01T16:00:00Z
SNA,2020,1,1,9,NA,NA,NA,0,0,0,NA,NA,10,2020-01-01T17:00:00Z
SNA,2020,1,1,10,NA,NA,NA,0,0,0,NA,NA,10,2020-01-01T18:00:00Z
SNA,2020,1,1,11,NA,NA,NA,0,0,0,NA,NA,8,2020-01-01T19:00:00Z
SNA,2020,1,1,12,NA,NA,NA,130,2.30156,2.6485892167999996,NA,NA,10,2020-01-01T20:00:00Z
SNA,2020,1,1,13,NA,NA,NA,0,0,0,NA,NA,10,2020-01-01T21:00:00Z
SNA,2020,1,1,14,NA,NA,NA,0,0,0,NA,NA,10,2020-01-01T22:00:00Z
SNA,2020,1,1,15,NA,NA,NA,0,0,0,NA,NA,10,2020-01-01T23:00:00Z
SNA,2020,1,1,16,NA,NA,NA,0,0,0,NA,NA,10,2020-01-02T00:00:00Z
SNA,2020,1,1,17,NA,NA,NA,340,4.60312,5.297178433599999,NA,NA,10,2020-01-02T01:00:00Z
SNA,2020,1,1,18,NA,NA,NA,0,0,0,NA,NA,10,2020-01-02T02:00:00Z
